Rank,Artist,Song,Released,Decade,Artist ID,Genres,Popularity
4,Bob Dylan,Like a Rolling Stone,1965,1960-1969,74ASZWbe4lXaubB36ztrGX,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",73
53,The Beach Boys,Good Vibrations,1966,1960-1969,3oDbviiivRWhXwIE8hxkVV,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop",73
66,Simon & Garfunkel,Bridge Over Troubled Water,1970,1970-1979,70cRZdQywnSFp9pnc2WTCE,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",73
11,The Beach Boys,God Only Knows,1966,1960-1969,3oDbviiivRWhXwIE8hxkVV,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop",73
49,Lauryn Hill,Doo Wop (That Thing),1998,1990-1999,2Mu5NfyYm8n5iTomuKAEHl,"alternative r&b, conscious hip hop, hip hop, neo soul, new jersey rap, r&b",73
67,Bob Dylan,Tangled Up in Blue,1975,1970-1979,74ASZWbe4lXaubB36ztrGX,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",73
83,Bob Dylan,Desolation Row,1965,1960-1969,74ASZWbe4lXaubB36ztrGX,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",73
93,Kelly Clarkson,Since U Been Gone,2004,2000-2009,3BmGtnKgCSGYIUhmivXKWX,"dance pop, pop, talent show",73
100,Bob Dylan,Blowin' in the Wind,1963,1960-1969,74ASZWbe4lXaubB36ztrGX,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",73
90,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,1960-1969,7nwUJBm0HE4ZxD3f5cy5ok,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz",72
1,Aretha Franklin,Respect,1967,1960-1969,7nwUJBm0HE4ZxD3f5cy5ok,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz",72
36,The White Stripes,Seven Nation Army,2003,2000-2009,4F84IBURUo98rz4r61KF70,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",72
37,Prince,When Doves Cry,1984,1980-1989,5a2EaR3hamoenG9rDuVn8j,"funk, funk rock, minneapolis sound, rock, synth funk",71
71,Tracy Chapman,Fast Car,1988,1980-1989,7oPgCQqMMXEXrNau5vxYZP,"folk, lilith, singer-songwriter, women's music",71
60,Kate Bush,Running Up That Hill,1985,1980-1989,1aSxMhuvixZ8h9dK9jIDwL,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",71
85,Prince,Kiss,1986,1980-1989,5a2EaR3hamoenG9rDuVn8j,"funk, funk rock, minneapolis sound, rock, synth funk",71
56,Missy Elliott,Work It,2000,2000-2009,2wIVse2owClT7go1WT98tk,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",71
8,Missy Elliott,Get Ur Freak On,2001,2000-2009,2wIVse2owClT7go1WT98tk,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",71
18,Prince,Purple Rain,1984,1980-1989,5a2EaR3hamoenG9rDuVn8j,"funk, funk rock, minneapolis sound, rock, synth funk",71
