song,performer,song_id,time_on_chart,chart_debut
Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,52,2015-05-16
The Bones,Maren Morris,The BonesMaren Morris,52,2019-09-14
Sure Thing,Miguel,Sure ThingMiguel,52,2011-03-26
Stitches,Shawn Mendes,StitchesShawn Mendes,52,2015-06-13
Ghost,Justin Bieber,GhostJustin Bieber,52,2021-04-03
Don't Let Me Down,The Chainsmokers Featuring Daya,Don't Let Me DownThe Chainsmokers Featuring Daya,52,2016-02-27
Don't Start Now,Dua Lipa,Don't Start NowDua Lipa,52,2019-11-16
Girls Like You,Maroon 5 Featuring Cardi B,Girls Like YouMaroon 5 Featuring Cardi B,52,2018-06-09
Go Crazy,Chris Brown & Young Thug,Go CrazyChris Brown & Young Thug,52,2020-05-23
Happier,Marshmello & Bastille,HappierMarshmello & Bastille,52,2018-09-01
High Hopes,Panic! At The Disco,High HopesPanic! At The Disco,52,2018-06-09
Before You Go,Lewis Capaldi,Before You GoLewis Capaldi,52,2020-02-08
Better Now,Post Malone,Better NowPost Malone,52,2018-05-12
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)Elton John & Dua Lipa,52,2021-08-28
Can't Stop The Feeling!,Justin Timberlake,Can't Stop The Feeling!Justin Timberlake,52,2016-05-28
Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul,52,2016-03-05
Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey,52,2016-08-20
Say You Won't Let Go,James Arthur,Say You Won't Let GoJames Arthur,52,2016-11-12
See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth,52,2015-03-28
Shivers,Ed Sheeran,ShiversEd Sheeran,52,2021-09-25
Sicko Mode,Travis Scott,Sicko ModeTravis Scott,52,2018-08-18
How's It Going To Be,Third Eye Blind,How's It Going To BeThird Eye Blind,52,1997-12-06
Mood,24kGoldn Featuring iann dior,Mood24kGoldn Featuring iann dior,52,2020-08-22
My Ex's Best Friend,Machine Gun Kelly X blackbear,My Ex's Best FriendMachine Gun Kelly X blackbear,52,2020-08-22
