song,performer,song_id,time_on_chart,chart_debut,Artist ID,Genres,Popularity
Don't Let Me Down,The Chainsmokers Featuring Daya,Don't Let Me DownThe Chainsmokers Featuring Daya,52,2016-02-27,69GGBxA162lTqCwzJG5jLp,pop,82
Without Me,Halsey,Without MeHalsey,52,2018-10-20,26VFTg2z8YR0cCuwLzESi2,"electropop, etherpop, indie poptimism, pop",81
Say You Won't Let Go,James Arthur,Say You Won't Let GoJames Arthur,52,2016-11-12,4IWBUUAFIplrNtaOHcJPRM,"pop, talent show, uk pop",81
See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth,52,2015-03-28,137W8MRPWKqSmrBGDBFSop,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",81
Wake Me Up!,Avicii,Wake Me Up!Avicii,54,2013-07-13,1vCWHaC5f2uS3yhpwWbIA6,"dance pop, edm, pop, pop dance",81
Can't Stop The Feeling!,Justin Timberlake,Can't Stop The Feeling!Justin Timberlake,52,2016-05-28,31TPClRtHm23RisEBtV3X7,"dance pop, pop",81
Someone You Loved,Lewis Capaldi,Someone You LovedLewis Capaldi,54,2019-05-25,4GNC7GD6oZMSxPGyXy4MNB,"pop, uk pop",80
Before You Go,Lewis Capaldi,Before You GoLewis Capaldi,52,2020-02-08,4GNC7GD6oZMSxPGyXy4MNB,"pop, uk pop",80
Lights,Ellie Goulding,LightsEllie Goulding,57,2011-08-20,0X2BH1fck6amBIoJhDVmmJ,"indietronica, metropopolis, pop, uk pop",80
I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,56,2009-06-27,1yxSLGMDHlW21z4YXirZDS,"dance pop, pop, pop rap",80
Sure Thing,Miguel,Sure ThingMiguel,52,2011-03-26,360IAlyVv4PCEVjgyMZrxK,"r&b, urban contemporary",79
Ho Hey,The Lumineers,Ho HeyThe Lumineers,62,2012-06-23,16oZKvXb6WkQlVAjwo2Wbg,"folk-pop, modern rock, neo mellow, stomp and holler",79
Calm Down,Rema & Selena Gomez,Calm DownRema & Selena Gomez,58,2022-09-17,46pWGuE3dSwY3bMMXGBvVS,"afrobeats, nigerian pop",79
My Ex's Best Friend,Machine Gun Kelly X blackbear,My Ex's Best FriendMachine Gun Kelly X blackbear,52,2020-08-22,6TIYQ3jFPwQSRmorSezPxX,"ohio hip hop, pop rap",79
Heat Waves,Glass Animals,Heat WavesGlass Animals,91,2021-01-16,4yvcSjfu4PC0CYQyLy4wSq,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",78
High Hopes,Panic! At The Disco,High HopesPanic! At The Disco,52,2018-06-09,20JZFwl6HVl6yg8a4H3ZqK,pop,77
Use Somebody,Kings Of Leon,Use SomebodyKings Of Leon,57,2008-10-11,2qk9voo8llSGYcZ6xrBzKx,"modern rock, rock",77
All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is YouMariah Carey,65,2000-01-08,4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77
Rock And A Hard Place,Bailey Zimmerman,Rock And A Hard PlaceBailey Zimmerman,55,2022-06-25,3win9vGIxFfBRag9S63wwf,"contemporary country, modern country pop",76
"Hey, Soul Sister",Train,"Hey, Soul SisterTrain",54,2009-10-17,3FUY2gzHeIiaesXtOAdB7A,"dance pop, neo mellow, pop, pop rock",76
Drops Of Jupiter (Tell Me),Train,Drops Of Jupiter (Tell Me)Train,53,2001-03-17,3FUY2gzHeIiaesXtOAdB7A,"dance pop, neo mellow, pop, pop rock",76
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,56,2014-11-29,3hv9jJF3adDNsBSIQDqcjp,pop soul,76
All Of Me,John Legend,All Of MeJohn Legend,59,2013-09-21,5y2Xq6xcjJb2jVM54GHK3t,"neo soul, pop, pop soul, urban contemporary",75
